27786 LA1        151    5000000 16 2/3% RS6          5          3
27787 LA1        175    5000000 16 2/3% RS6          5          1
27788 LA1        177    5000000 16 2/3% RS6          5          2
27789 LA1        181    2500000 16 2/3% RS6          5          2
27790 LA1        216    5000000 16 2/3% RS6          5          3
27791 LA1        222    5000000 16 2/3% RS6          5          1
27792 LA1        223    5000000 16 2/3% RS6          5          1
27793 LA1        252    5000000 16 2/3% RS6          5          5
27794 LA1        263    5000000 16 2/3% RS6          5          1
27795 LA1A       154    5000000 16 2/3% RS6          5          2
27796 LA1A       162    5000000 16 2/3% RS6          5          4
27797 LA1A       288    5000000 16 2/3% RS6          5          3
27798 LA1A       296    4458430 16 2/3% RS6          5          2
27799 LA1A       304    5000000 16 2/3% RS6          5          1
27800 LA1A       313    5000000 16 2/3% RS6          5          1
27801 LA1A       332    5000000 16 2/3% RS6          5          1
27802 LA1A       346    5000000 16 2/3% RS6          5          1
27803 LA1A       364    5000000 16 2/3% RS6          5          1
27804 LA1A       407    5000000 16 2/3% RS6          5          1
27805 LA1A       443    5000000 16 2/3% RS6          5          1
27806 LA1B       446    5000000 16 2/3% RS6          5          1
27807 LA1B       456    5000000 16 2/3% RS6          5          1
27808 LA1B       601    5000000 16 2/3% RS6          5          1
27809 LA1B       609    5000000 16 2/3% RS6          5          1
27810 LA1B       613    1434610 16 2/3% RS6          5          2
27811 LA1B       626    5000000 16 2/3% RS6          5          1
27812 LA1B       627    5000000 16 2/3% RS6          5          1
27813 LA1B       629    5000000 16 2/3% RS6          5          1
27814 LA1B       640    5000000 16 2/3% RS6          5          1
27815 LA1B       641    5000000 16 2/3% RS6          5          1
27816 LA1B       646    5000000 16 2/3% RS6          5          1
27817 LA1B       647    5000000 16 2/3% RS6          5          1
27818 LA2         14    2543550 16 2/3% RS6          5          1
27819 LA2         15    4649970 16 2/3% RS6          5          1
27820 LA2         53    5000000 16 2/3% RS6          5          1
27821 LA2         62    5000000 16 2/3% RS6          5          1
27822 LA2         77    5000000 16 2/3% RS6          5          1
27823 LA2         96    5000000 16 2/3% RS6          5          1
27824 LA2        106    5000000 16 2/3% RS6          5          3
27825 LA2        115    5000000 16 2/3% RS6          5          2
27826 LA2        120    5000000 16 2/3% RS6          5          1
27827 LA2        125    5000000 16 2/3% RS6          5          1
27828 LA2        137    5000000 16 2/3% RS6          5          1
27829 LA2        138    5000000 16 2/3% RS6          5          2
27830 LA2        139    5000000 16 2/3% RS6          5          1
27831 LA2        157    5000000 16 2/3% RS6          5          3
27832 LA2        165    5000000 16 2/3% RS6          5          1
27833 LA2        171    5000000 16 2/3% RS6          5          2
27834 LA2        178    5000000 16 2/3% RS6          5          5
27835 LA2        180    5000000 16 2/3% RS6          5          1
27836 LA2        195    5000000 16 2/3% RS6          5          1
27837 LA2A       262    5000000 16 2/3% RS6          5          1
27838 LA2A       351    5000000 16 2/3% RS6          5          2
27839 LA2A       352    5000000 16 2/3% RS6          5          4
27840 LA2A       353    5000000 16 2/3% RS6          5          1
27841 LA2A       354    5000000 16 2/3% RS6          5          2
27842 LA2A       358    5000000 16 2/3% RS6          5          1
27843 LA2A       374    5000000 16 2/3% RS6          5          1
27844 LA3         16     805810 16 2/3% RS6          5          1
27845 LA3         18    2425960 16 2/3% RS6          5          1
27846 LA3         19    3055220 16 2/3% RS6          5          1
27847 LA3         29    4415980 16 2/3% RS6          5          1
27848 LA3         39    2500000 16 2/3% RS6          5          3
27849 LA3         41    4251120 16 2/3% RS6          5          1
27850 LA3         57    2500000 16 2/3% RS6          5          1
27851 LA3         72    4461050 16 2/3% RS6          5          5
27852 LA3         90    5000000 16 2/3% RS6          5          1
27853 LA3        112    4958960 16 2/3% RS6          5          1
27854 LA3        113    5000000 16 2/3% RS6          5          1
27855 LA3        118    5000000 16 2/3% RS6          5          1
27856 LA3        141    4756040 16 2/3% RS6          5          1
27857 LA3        148    5000000 16 2/3% RS6          5          1
27858 LA3        167    5000000 16 2/3% RS6          5          6
27859 LA3        190    5000000 16 2/3% RS6          5          1
27860 LA3        193    5000000 16 2/3% RS6          5          1
27861 LA3        194    5000000 16 2/3% RS6          5          1
27862 LA3        201    5092650 16 2/3% RS6          5          1
27863 LA3B       372    5000000 16 2/3% RS6          5          2
27864 LA3B       383    5000000 16 2/3% RS6          5          1
27865 LA3B       384    5000000 16 2/3% RS6          5          1
27866 LA3B       390    2500000 16 2/3% RS6          5          1
27867 LA3B       393    5000000 16 2/3% RS6          5          1
27868 LA3B       394    5000000 16 2/3% RS6          5          1
27869 LA3B       399    3984330 16 2/3% RS6          5          2
27870 LA3B       400    3948230 16 2/3% RS6          5          1
27871 LA3B       401    5000000 16 2/3% RS6          5          1
27872 LA3B       404    5000000 16 2/3% RS6          5          1
27873 LA3B       409    2500000 16 2/3% RS6          5          1
27874 LA3B       410    3714690 16 2/3% RS6          5          1
27875 LA3B       411    5000000 16 2/3% RS6          5          1
27876 LA3B       412    5000000 16 2/3% RS6          5          1
27877 LA3A         9    5000000 16 2/3% RS6          5          2
27878 LA3A        38    5000000 16 2/3% RS6          5          6
27879 LA3A        51    5000000 16 2/3% RS6          5          2
27880 LA3A        57    5432340 16 2/3% RS6          5          2
27881 LA3A        59    5000000 16 2/3% RS6          5          1
27882 LA3C        75    5000000 16 2/3% RS6          5          1
27883 LA3C        92    5000000 16 2/3% RS6          5          2
27884 LA3C       129    5000000 16 2/3% RS6          5          1
27885 LA3C       164    5000000 16 2/3% RS6          5          1
27886 LA3C       170    5000000 16 2/3% RS6          5          1
27887 LA3C       178    5000000 16 2/3% RS6          5          1
27888 LA3C       179    5000000 16 2/3% RS6          5          1
27889 LA3C       187    5000000 16 2/3% RS6          5          1
27890 LA3C       194    5000000 16 2/3% RS6          5          2
27891 LA3C       197    2500000 16 2/3% RS6          5          1
27892 LA3C       198    3546010 16 2/3% RS6          5          1
27893 LA3C       201    5000000 16 2/3% RS6          5          1
27894 LA3C       202    5000000 16 2/3% RS6          5          1
27895 LA3C       203    5000000 16 2/3% RS6          5          1
27896 LA3D       234    1756629 16 2/3% RS6          5          1
27897 LA3D       235    3633650 16 2/3% RS6          5          1
