Sale_Number,Lease_Number,Bid_Amount,Company_Number,Protraction_ID,Block_Number,Acreage,Source_Sale
247,0036063,752525,3394,NG16-01,20,5760.0,Unknown
247,0036064,24056719,689,NG16-01,64,5760.0,Unknown
247,0036064,3623976,2748,NG16-01,64,5760.0,Unknown
247,0036064,1655555,2058,NG16-01,64,5760.0,Unknown
247,0036065,591730,78,NG16-01,479,5760.0,Unknown
247,0036066,591730,78,NG16-01,523,5760.0,Unknown
247,0036067,591730,78,NG16-01,567,5760.0,Unknown
247,0036068,749319,1500,NG15-05,62,5760.0,Unknown
247,0036069,591730,78,NG15-05,299,5760.0,Unknown
247,0036070,591730,78,NG15-05,300,5760.0,Unknown
247,0036071,3710829,78,NG15-05,387,5760.0,Unknown
247,0036071,1556719,689,NG15-05,387,5760.0,Unknown
247,0036072,650719,689,NG15-05,388,5760.0,Unknown
247,0036073,650719,689,NG15-05,432,5760.0,Unknown
247,0036074,1661976,2748,NG15-05,612,5760.0,Unknown
247,0036075,608976,2748,NG15-05,656,5760.0,Unknown
247,0036076,1231976,2748,NG15-05,657,5760.0,Unknown
247,0036077,1788999,2058,NG15-05,736,5760.0,Unknown
247,0036078,1400260,2219,NG15-05,771,5760.0,Unknown
247,0036079,631976,2748,NG15-06,11,5760.0,Unknown
247,0036080,21237976,2748,NG15-06,55,5760.0,Unknown
247,0036080,1763712,3228,NG15-06,55,5760.0,Unknown
247,0036080,1763712,2219,NG15-06,55,5760.0,Unknown
247,0036081,625536,2219,NG15-06,144,5760.0,Unknown
247,0036081,625536,3228,NG15-06,144,5760.0,Unknown
247,0036082,3618976,2748,NG15-06,145,5760.0,Unknown
247,0036083,11124976,2748,NG15-06,189,5760.0,Unknown
247,0036084,582976,2748,NG15-06,316,5760.0,Unknown
247,0036085,955976,2748,NG15-06,443,5760.0,Unknown
247,0036086,591976,2748,NG15-06,487,5760.0,Unknown
247,0036087,2156719,689,NG15-06,594,5760.0,Unknown
247,0036088,4556719,689,NG15-06,595,5760.0,Unknown
247,0036089,613976,2748,NG15-06,617,5760.0,Unknown
247,0036090,669976,2748,NG15-06,661,5760.0,Unknown
247,0036091,726250,2219,NG15-06,881,5760.0,Unknown
247,0036092,895260,2219,NG15-06,925,5760.0,Unknown
